# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Tue Mar 15 14:51:07 PST 2022
#
At utterance begin, sil accounts for 95.0% of phone occurrences, with duration (median, mean, 95-percentile) is (48,73.9,171) frames.
At utterance begin, nonsilence accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,12) frames.
At utterance begin, pi_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,12) frames.
At utterance end, sil accounts for 82.5% of phone occurrences, with duration (median, mean, 95-percentile) is (44,75.9,201) frames.
At utterance end, nonsilence accounts for 17.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,23.9,46) frames.
At utterance end, mo_E accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance end, yam_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (46,51.0,46) frames.
At utterance end, la_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.0,32) frames.
At utterance end, o_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.0,24) frames.
Overall, nonsilence accounts for 67.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.6,61) frames.
Overall, sil accounts for 32.5% of phone occurrences, with duration (median, mean, 95-percentile) is (57,74.4,188) frames.
Overall, la_E accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.6,55) frames.
Overall, o_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (37,40.2,59) frames.
Overall, sa_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (27,26.2,47) frames.
Overall, wa_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (27,24.1,37) frames.
Overall, bu_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (27,40.6,66) frames.
Overall, ho_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,20.1,32) frames.
Overall, yam_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (41,42.1,57) frames.
Overall, tu_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.9,19) frames.
Overall, a_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,10.8,15) frames.
Overall, d_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.8,21) frames.
Overall, ra_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (21,27.6,48) frames.
Overall, son_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.4,22) frames.
Overall, di_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (18,23.4,55) frames.
Overall, i_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (40,39.6,74) frames.
Overall, in_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (49,40.8,64) frames.
Overall, pi_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (24,21.1,28) frames.
Overall, mo_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,12.7,30) frames.
Overall, bos_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.8,50) frames.
Overall, su_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (38,32.9,40) frames.
Overall, u_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.6,24) frames.
Overall, ba_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,22.3,25) frames.
Overall, lay_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (26,32.2,45) frames.
Overall, mu_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (36,35.9,39) frames.
Overall, si_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (19,22.5,34) frames.
Overall, ho_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.4,30) frames.
Overall, ng_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.1,26) frames.
Overall, ok_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (21,24.2,34) frames.
Overall, u_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
Overall, ay_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.2,18) frames.
Overall, ka_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.3,15) frames.
Overall, on_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (64,62.7,73) frames.
Overall, wa_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,12.7,16) frames.
Overall, ga_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (31,35.6,39) frames.
Overall, id_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,29.6,36) frames.
Overall, lo_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.8,12) frames.
Overall, to_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.2,12) frames.
Overall, anom_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.5,16) frames.
The optional-silence phone sil occupies 57.4% of frames overall 
Limiting the stats to the 82.7% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 49.2% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.0 hours if sil frames are excluded.
